YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
1997,June,N,143.643125,127.03357713778504,18.2475
1998,June,EN,148.145625,105.22416709909591,15.5885
1999,June,LA,154.42262499999998,122.97097008938944,18.9895
2000,June,LA,153.20237500000002,126.78083482713632,19.423125
2001,June,LA,152.422875,117.93177369210494,17.9755
2002,June,N,152.89525,118.74551367684738,18.155625
2003,June,EN,149.4795,121.55178469288431,18.1695
2004,June,N,143.777875,120.63921517827413,17.34525
2005,June,EN,145.938875,114.40491781233753,16.696125
2006,June,N,150.396625,126.53375699088993,19.03025
2007,June,N,152.273875,117.84441027720612,17.944625
2008,June,LA,145.053875,122.76731662632245,17.807875
2009,June,N,149.48275,122.67636232274292,18.338
2010,June,EN,154.53575,116.53047919332582,18.008125
2011,June,LA,146.73125,123.59841547046047,18.13575
2012,June,LA,150.942375,117.8620317853088,17.790375
2013,June,N,148.06074999999998,118.01236992248116,17.473
2014,June,N,146.768125,118.36698193153316,17.3725
2015,June,EN,148.07,118.72087526170056,17.579
2016,June,EN,149.371875,100.7050356702023,15.0425
2017,June,N,153.2215,111.98820008941304,17.159
2018,June,LA,150.14712500000002,120.45851693796999,18.0865
2019,June,EN,150.480125,114.23352419464034,17.189875
1963,July,N,142.63875000000002,137.37150669085364,19.5945
1964,July,EN,152.663375,137.9120892617499,21.054125
1965,July,LA,145.730125,135.44728655108202,19.73875
1966,July,EN,152.04575,134.94951355102,20.5185
1967,July,N,149.97725,131.8166588599271,19.7695
1968,July,N,152.09550000000002,139.24886009119268,21.179125
1969,July,EN,148.6355,125.74889578869112,18.69075
1970,July,N,151.21125,131.5196455290198,19.88725
1971,July,LA,146.125875,132.75112980503965,19.398375
1972,July,LA,145.183125,130.05041047298025,18.881125
1973,July,EN,148.775875,129.80683192083393,19.312125
1974,July,LA,148.69425,138.9487152327679,20.660875
1975,July,LA,149.825125,133.59992190895886,20.016625
1976,July,LA,146.67925,136.4081831615583,20.00825
1977,July,N,143.496625,130.1555001729135,18.676875
1978,July,N,145.19075,136.1286789964237,19.764625000000002
1979,July,N,135.893125,137.48396028128724,18.683125
1980,July,N,142.340625,133.169992755055,18.9555
1981,July,N,141.43125,134.34354147333067,19.000375000000002
1982,July,N,144.000375,132.3043429574402,19.051875
1983,July,EN,142.615125,127.69245197520249,18.210875
1984,July,N,143.2055,130.83732817524466,18.736625
1985,July,LA,139.38412499999998,129.34399810595363,18.0285
1986,July,N,149.476875,129.83195561186304,19.406875
1987,July,EN,145.424125,123.49567171196664,17.95925
1988,July,EN,147.464875,125.8884530977292,18.564125
1989,July,LA,142.82262500000002,125.24013614789672,17.887125
1990,July,N,141.81175000000002,123.18266998327006,17.46875
1991,July,N,140.174625,127.1494394937743,17.823125
1992,July,EN,142.3485,132.83771869742216,18.90925
1993,July,N,142.79,124.80828489390014,17.821375
1994,July,N,143.88825,125.7938017871508,18.10025
1995,July,EN,143.4255,124.77819495138591,17.896375
1996,July,LA,152.524875,127.75702979595951,19.486125
1997,July,N,146.950375,134.2264352847007,19.724625
1998,July,EN,144.44575,106.53567169681351,15.388625
1999,July,LA,149.374375,122.74779392382396,18.335375
2000,July,LA,147.41925,127.38668796646299,18.77925
2001,July,LA,147.101125,119.62349030301434,17.59675
2002,July,N,148.997375,119.52559566905121,17.809
2003,July,EN,147.7215,126.44401796624054,18.6785
2004,July,N,144.09675,124.02864741918192,17.872125
2005,July,EN,143.860125,114.84071767628451,16.521
2006,July,N,149.466375,128.65268191591588,19.22925
2007,July,N,148.53,117.32899077627415,17.426875
2008,July,LA,148.167,128.45302935201497,19.0325
2009,July,N,151.2445,126.87651451788331,19.189375
2010,July,EN,149.5325,116.00237406583854,17.346125
2011,July,LA,145.684375,123.22272035007187,17.951625
2012,July,LA,150.72825,122.08809562905427,18.402125
2013,July,N,149.512375,122.73733194325888,18.35075
2014,July,N,144.1755,120.86658274117309,17.426
2015,July,EN,150.4275,122.70944474913163,18.458875
2016,July,EN,145.796125,99.0235508659781,14.43725
2017,July,N,148.553125,113.82375833561227,16.908875
2018,July,LA,151.62675000000002,126.30686867587677,19.1515
2019,July,EN,152.457875,118.84020422034611,18.118125
1963,August,N,129.155125,135.83665379132265,17.544
1964,August,EN,144.6815,137.03203242985455,19.826
1965,August,LA,138.19125,135.28172007996164,18.69475
1966,August,EN,142.675875,134.42531892655293,19.17925
1967,August,N,140.438375,129.568396102561,18.196375
1968,August,N,142.6755,138.01073064401388,19.69075
1969,August,EN,138.149125,122.5686373330269,16.93275
1970,August,EN,142.98862499999998,131.03052777799635,18.735875
1971,August,LA,137.57525,131.3081386368551,18.06475
1972,August,LA,138.280875,128.6945862904035,17.796
1973,August,EN,142.7585,130.9720612082643,18.697375
1974,August,LA,141.4105,138.2376131899682,19.54825
1975,August,LA,138.587,132.78842892912036,18.40275
1976,August,LA,140.50775,137.1161021367149,19.265875
1977,August,EN,139.712,130.65359453733396,18.253875
1978,August,N,138.573125,135.57733507128455,18.787375
1979,August,N,128.904625,136.61457065640585,17.61025
1980,August,N,132.956875,132.75827218411985,17.651125
1981,August,N,135.007375,134.77874819801514,18.196125000000002
1982,August,N,139.169375,132.51119364443505,18.4415
1983,August,EN,135.34325,127.75572479602786,17.290875
1984,August,N,137.231875,130.9672042300668,17.972875
1985,August,LA,127.91012500000001,127.82021751600975,16.3495
1986,August,N,139.698125,128.46897551416671,17.946875
1987,August,EN,133.159375,121.04573936307526,16.118375
1988,August,EN,139.5525,126.27057917271277,17.621375
1989,August,LA,138.170625,127.9405445260163,17.677625
1990,August,N,134.3855,123.73265716911422,16.627875
1991,August,N,130.236,125.67761602014805,16.36775
1992,August,EN,134.598625,132.1540246046347,17.78775
1993,August,N,134.3245,122.85082021522507,16.501875
1994,August,N,137.101875,126.05316302202286,17.282125
1995,August,EN,140.07999999999998,127.12021701884639,17.807
1996,August,LA,142.614625,128.88667624375833,18.381125
1997,August,N,144.03787499999999,135.20141837693734,19.474125
1998,August,EN,137.123,104.3524791610452,14.309125
1999,August,LA,138.115375,120.7966527984303,16.683875
2000,August,LA,137.47924999999998,125.20434901994302,17.213
2001,August,LA,137.763,116.85648541335483,16.0985
2002,August,N,137.78825,116.23723358123786,16.016125
2003,August,EN,138.780375,124.41690692938394,17.266625
2004,August,N,137.1,123.39897884755653,16.918
2005,August,EN,137.08474999999999,112.72862225739918,15.453375
2006,August,N,138.885,126.62904561327719,17.586875
2007,August,N,137.171,113.48153035262555,15.566375
2008,August,LA,141.34725,127.69173082603305,18.048875
2009,August,N,144.866875,127.92520719453637,18.532125
2010,August,EN,140.848375,113.62218413950461,16.0035
2011,August,LA,138.21337499999998,120.82314754270347,16.699375
2012,August,LA,142.126125,119.45024181866634,16.977
2013,August,N,144.35762499999998,122.420793498092,17.672375
2014,August,N,136.54387499999999,119.69412762015139,16.3435
2015,August,EN,144.41887499999999,125.87430140277718,18.178625
2016,August,EN,138.7065,95.30285170485881,13.219125
2017,August,N,139.51275,110.9710402812646,15.481875
2018,August,LA,144.786125,125.59128162315277,18.183875
2019,August,EN,145.453875,116.85663238603989,16.99725
1963,September,N,118.13925,134.3287688046098,15.8695
1964,September,EN,129.46575,133.9601400370368,17.34325
1965,September,LA,123.204,131.17066004350508,16.16075
1966,September,EN,129.153,132.02558206158588,17.0515
1967,September,N,125.409125,125.54309744207211,15.744250000000001
1968,September,N,127.34887499999999,134.67335302333845,17.1505
1969,September,EN,125.99025,119.07667458394597,15.0025
1970,September,N,126.96775,127.34828332391496,16.169125
1971,September,LA,122.0635,129.02300851605924,15.748999999999999
1972,September,LA,126.347375,124.89772739639427,15.7805
1973,September,EN,131.2945,128.6335299650785,16.888875
