HYEAR,classification,harv.month,Variable,Value
1988,EN,April,TMAXA,32.5
1988,EN,April,TMINA,21.3
1988,EN,April,SRADA,16.7
1988,EN,April,PRCP,1711.5
1989,LA,April,TMAXA,32.2
1989,LA,April,TMINA,20.4
1989,LA,April,SRADA,16.9
1989,LA,April,PRCP,1683.6
1990,NE,April,TMAXA,32.2
1990,NE,April,TMINA,20.9
1990,NE,April,SRADA,16.6
1990,NE,April,PRCP,1429.1
1991,NE,April,TMAXA,32
1991,NE,April,TMINA,20.7
1991,NE,April,SRADA,16
1991,NE,April,PRCP,2203.1
1992,EN,April,TMAXA,32
1992,EN,April,TMINA,19.8
1992,EN,April,SRADA,15.7
1992,EN,April,PRCP,1510.3
1993,NE,April,TMAXA,31.9
1993,NE,April,TMINA,20.2
1993,NE,April,SRADA,16.2
1993,NE,April,PRCP,1444.1
1994,NE,April,TMAXA,32.4
1994,NE,April,TMINA,20.7
1994,NE,April,SRADA,16.3
1994,NE,April,PRCP,1344.7
1995,EN,April,TMAXA,32.3
1995,EN,April,TMINA,20.9
1995,EN,April,SRADA,15.9
1995,EN,April,PRCP,1623.9
1996,LA,April,TMAXA,32.3
1996,LA,April,TMINA,20.3
1996,LA,April,SRADA,16.3
1996,LA,April,PRCP,1842.8
1997,NE,April,TMAXA,31.7
1997,NE,April,TMINA,19.6
1997,NE,April,SRADA,17.3
1997,NE,April,PRCP,1610.3
1998,EN,April,TMAXA,33.1
1998,EN,April,TMINA,20.8
1998,EN,April,SRADA,17.9
1998,EN,April,PRCP,1675.5
1999,LA,April,TMAXA,32.8
1999,LA,April,TMINA,20.3
1999,LA,April,SRADA,17.1
1999,LA,April,PRCP,1690.5
2000,LA,April,TMAXA,32.8
2000,LA,April,TMINA,20.5
2000,LA,April,SRADA,17.5
2000,LA,April,PRCP,1365.7
2001,LA,April,TMAXA,32.7
2001,LA,April,TMINA,20.7
2001,LA,April,SRADA,17.7
2001,LA,April,PRCP,1270.5
2002,NE,April,TMAXA,33
2002,NE,April,TMINA,21.2
2002,NE,April,SRADA,17.7
2002,NE,April,PRCP,1598.7
2003,EN,April,TMAXA,33.1
2003,EN,April,TMINA,20.9
2003,EN,April,SRADA,17.4
2003,EN,April,PRCP,1433.4
2004,NE,April,TMAXA,32.5
2004,NE,April,TMINA,21.1
2004,NE,April,SRADA,17.6
2004,NE,April,PRCP,1358.1
2005,EN,April,TMAXA,32.2
2005,EN,April,TMINA,21.2
2005,EN,April,SRADA,16.8
2005,EN,April,PRCP,1281
2006,NE,April,TMAXA,32.4
2006,NE,April,TMINA,21.5
2006,NE,April,SRADA,16.8
2006,NE,April,PRCP,1511.1
2007,NE,April,TMAXA,32.5
2007,NE,April,TMINA,21.2
2007,NE,April,SRADA,17.3
2007,NE,April,PRCP,1569.4
2008,LA,April,TMAXA,32.5
2008,LA,April,TMINA,21
2008,LA,April,SRADA,16.9
2008,LA,April,PRCP,1566.3
2009,LA,April,TMAXA,32.8
2009,LA,April,TMINA,20.7
2009,LA,April,SRADA,17.6
2009,LA,April,PRCP,1370.1
2010,EN,April,TMAXA,32.6
2010,EN,April,TMINA,20.6
2010,EN,April,SRADA,16.9
2010,EN,April,PRCP,1519.1
2011,LA,April,TMAXA,33
2011,LA,April,TMINA,20.4
2011,LA,April,SRADA,16.8
2011,LA,April,PRCP,555.7
2012,LA,April,TMAXA,33.2
2012,LA,April,TMINA,20.6
2012,LA,April,SRADA,17.8
2012,LA,April,PRCP,1362.7
2013,NE,April,TMAXA,32.8
2013,NE,April,TMINA,21.2
2013,NE,April,SRADA,17.2
2013,NE,April,PRCP,1871.3
2014,NE,April,TMAXA,32.4
2014,NE,April,TMINA,20.9
2014,NE,April,SRADA,16.8
2014,NE,April,PRCP,1853.1
2015,NE,April,TMAXA,32.5
2015,NE,April,TMINA,21.4
2015,NE,April,SRADA,16.9
2015,NE,April,PRCP,1527.4
2016,EN,April,TMAXA,33.6
2016,EN,April,TMINA,22
2016,EN,April,SRADA,16.9
2016,EN,April,PRCP,1419.6
2017,NE,April,TMAXA,32.2
2017,NE,April,TMINA,20.8
2017,NE,April,SRADA,17.1
2017,NE,April,PRCP,1460.6
2018,NE,April,TMAXA,33
2018,NE,April,TMINA,21.4
2018,NE,April,SRADA,17.4
2018,NE,April,PRCP,1608.8
2019,EN,April,TMAXA,32.5
2019,EN,April,TMINA,20.9
2019,EN,April,SRADA,17.1
2019,EN,April,PRCP,1169.7
1963,NE,April,TMAXA,28.7
1963,NE,April,TMINA,15
1963,NE,April,SRADA,19
1963,NE,April,PRCP,1559.1
1964,EN,April,TMAXA,29.4
1964,EN,April,TMINA,16.6
1964,EN,April,SRADA,18.9
1964,EN,April,PRCP,1167.9
1965,LA,April,TMAXA,27.5
1965,LA,April,TMINA,16.4
1965,LA,April,SRADA,17.4
1965,LA,April,PRCP,1651
1966,EN,April,TMAXA,28.1
1966,EN,April,TMINA,16.7
1966,EN,April,SRADA,18
1966,EN,April,PRCP,1535
1967,NE,April,TMAXA,27.9
1967,NE,April,TMINA,17
1967,NE,April,SRADA,18.5
1967,NE,April,PRCP,1189
1968,NE,April,TMAXA,27.8
1968,NE,April,TMINA,17
1968,NE,April,SRADA,18.4
1968,NE,April,PRCP,1306.1
1969,EN,April,TMAXA,28.1
1969,EN,April,TMINA,16.7
1969,EN,April,SRADA,18.8
1969,EN,April,PRCP,1084.7
1970,EN,April,TMAXA,28.6
1970,EN,April,TMINA,17.4
1970,EN,April,SRADA,18.3
1970,EN,April,PRCP,1598.2
1971,LA,April,TMAXA,29.1
1971,LA,April,TMINA,17.2
1971,LA,April,SRADA,19
1971,LA,April,PRCP,1016
1972,LA,April,TMAXA,28.2
1972,LA,April,TMINA,17.2
1972,LA,April,SRADA,17.8
1972,LA,April,PRCP,1605
1973,EN,April,TMAXA,29
1973,EN,April,TMINA,18.1
1973,EN,April,SRADA,18.6
1973,EN,April,PRCP,1381
1974,LA,April,TMAXA,26.6
1974,LA,April,TMINA,18.5
1974,LA,April,SRADA,18.1
1974,LA,April,PRCP,1392.5
1975,LA,April,TMAXA,27.5
1975,LA,April,TMINA,17.6
1975,LA,April,SRADA,19.1
1975,LA,April,PRCP,989.6
1976,LA,April,TMAXA,28.4
1976,LA,April,TMINA,16.6
1976,LA,April,SRADA,19.2
1976,LA,April,PRCP,881.6
1977,EN,April,TMAXA,28.2
1977,EN,April,TMINA,16.9
1977,EN,April,SRADA,17.9
1977,EN,April,PRCP,1384.5
1978,NE,April,TMAXA,28
1978,NE,April,TMINA,17.4
1978,NE,April,SRADA,17.5
1978,NE,April,PRCP,1401.3
1979,NE,April,TMAXA,27.8
1979,NE,April,TMINA,16
1979,NE,April,SRADA,17.1
1979,NE,April,PRCP,1661.3
1980,NE,April,TMAXA,28.1
1980,NE,April,TMINA,16.5
1980,NE,April,SRADA,16.8
1980,NE,April,PRCP,2008.2
1981,NE,April,TMAXA,28.5
1981,NE,April,TMINA,16.8
1981,NE,April,SRADA,17.5
1981,NE,April,PRCP,1314.8
1982,NE,April,TMAXA,27.7
1982,NE,April,TMINA,16.2
1982,NE,April,SRADA,17.2
1982,NE,April,PRCP,1991
1983,EN,April,TMAXA,28.3
1983,EN,April,TMINA,17.3
1983,EN,April,SRADA,17.2
1983,EN,April,PRCP,1513.1
1984,LA,April,TMAXA,28.8
1984,LA,April,TMINA,17.5
1984,LA,April,SRADA,17.7
1984,LA,April,PRCP,1485.5
1985,LA,April,TMAXA,28.4
1985,LA,April,TMINA,17.2
1985,LA,April,SRADA,17.4
1985,LA,April,PRCP,1378.7
1986,NE,April,TMAXA,28.3
1986,NE,April,TMINA,17.2
1986,NE,April,SRADA,18.1
1986,NE,April,PRCP,1595.7
1987,EN,April,TMAXA,28.7
1987,EN,April,TMINA,17.1
1987,EN,April,SRADA,18.1
1987,EN,April,PRCP,1284.4
1988,EN,April,TMAXA,29.5
1988,EN,April,TMINA,17.8
1988,EN,April,SRADA,18.1
1988,EN,April,PRCP,1568.7
1989,LA,April,TMAXA,28.9
1989,LA,April,TMINA,16.9
1989,LA,April,SRADA,18.5
1989,LA,April,PRCP,1402.9
1990,NE,April,TMAXA,29
1990,NE,April,TMINA,17.2
1990,NE,April,SRADA,17.7
1990,NE,April,PRCP,1540.4
1991,NE,April,TMAXA,28.3
1991,NE,April,TMINA,17.3
1991,NE,April,SRADA,17.6
1991,NE,April,PRCP,1464.1
