HYEAR,classification,harv.month,Variable,Value
1985,LA,April,PRCP,1812.9
1986,NE,April,TMAXA,30.6
1986,NE,April,TMINA,16
1986,NE,April,SRADA,18.1
1986,NE,April,PRCP,961.2
1987,EN,April,TMAXA,30.1
1987,EN,April,TMINA,16.6
1987,EN,April,SRADA,17.3
1987,EN,April,PRCP,1936.7
1988,EN,April,TMAXA,30.7
1988,EN,April,TMINA,17
1988,EN,April,SRADA,17.4
1988,EN,April,PRCP,1906.6
1989,LA,April,TMAXA,30.5
1989,LA,April,TMINA,16.4
1989,LA,April,SRADA,17.8
1989,LA,April,PRCP,1770.7
1990,NE,April,TMAXA,30
1990,NE,April,TMINA,16.4
1990,NE,April,SRADA,18
1990,NE,April,PRCP,1277.7
1991,NE,April,TMAXA,30.1
1991,NE,April,TMINA,16.8
1991,NE,April,SRADA,17.7
1991,NE,April,PRCP,1945.6
1992,EN,April,TMAXA,30.5
1992,EN,April,TMINA,16.7
1992,EN,April,SRADA,17.1
1992,EN,April,PRCP,1575.4
1993,NE,April,TMAXA,30
1993,NE,April,TMINA,17.1
1993,NE,April,SRADA,16.9
1993,NE,April,PRCP,1719.8
1994,NE,April,TMAXA,30.5
1994,NE,April,TMINA,16.8
1994,NE,April,SRADA,17.7
1994,NE,April,PRCP,1561
1995,EN,April,TMAXA,31.2
1995,EN,April,TMINA,16.8
1995,EN,April,SRADA,18.2
1995,EN,April,PRCP,1237.6
1996,LA,April,TMAXA,30.9
1996,LA,April,TMINA,17.1
1996,LA,April,SRADA,18.4
1996,LA,April,PRCP,1650.9
1997,NE,April,TMAXA,29.8
1997,NE,April,TMINA,16.8
1997,NE,April,SRADA,17.4
1997,NE,April,PRCP,1803.8
1998,EN,April,TMAXA,30.8
1998,EN,April,TMINA,17.4
1998,EN,April,SRADA,17.7
1998,EN,April,PRCP,1845.1
1999,LA,April,TMAXA,30.8
1999,LA,April,TMINA,17.4
1999,LA,April,SRADA,17.6
1999,LA,April,PRCP,1264
2000,LA,April,TMAXA,30.9
2000,LA,April,TMINA,16.7
2000,LA,April,SRADA,18.3
2000,LA,April,PRCP,1552.2
2001,LA,April,TMAXA,30.7
2001,LA,April,TMINA,16.7
2001,LA,April,SRADA,18
2001,LA,April,PRCP,1437.6
2002,NE,April,TMAXA,30.4
2002,NE,April,TMINA,17
2002,NE,April,SRADA,17.8
2002,NE,April,PRCP,2174.8
2003,EN,April,TMAXA,31
2003,EN,April,TMINA,17.4
2003,EN,April,SRADA,17.7
2003,EN,April,PRCP,1458.6
2004,NE,April,TMAXA,30.7
2004,NE,April,TMINA,16.5
2004,NE,April,SRADA,18.1
2004,NE,April,PRCP,1499.4
2005,EN,April,TMAXA,30.7
2005,EN,April,TMINA,16.9
2005,EN,April,SRADA,18.1
2005,EN,April,PRCP,1484.5
2006,NE,April,TMAXA,30.5
2006,NE,April,TMINA,17.3
2006,NE,April,SRADA,17.3
2006,NE,April,PRCP,1655.5
2007,NE,April,TMAXA,30.8
2007,NE,April,TMINA,16.7
2007,NE,April,SRADA,18.2
2007,NE,April,PRCP,1670.5
2008,LA,April,TMAXA,30.7
2008,LA,April,TMINA,17.1
2008,LA,April,SRADA,18.1
2008,LA,April,PRCP,1893.2
2009,LA,April,TMAXA,30.8
