YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
2010,August,EN,110.518375,130.3482339475223,14.405875
2011,August,LA,111.707875,126.48168269246908,14.129
2012,August,LA,118.51712500000001,129.57199223318992,15.356499999999999
2013,August,N,123.40775000000001,129.7730490994285,16.015
2014,August,N,117.828625,130.33759835523838,15.3575
2015,August,EN,123.74375,130.81771806656903,16.187875000000002
2016,August,EN,123.64275,115.9884020696725,14.341125
2017,August,N,119.34575,130.90642104976507,15.623125
2018,August,LA,118.85537500000001,128.17468288665953,15.23425
2019,August,EN,120.04725,129.2199529768487,15.512500000000001
1963,September,N,107.627625,132.7029189764245,14.2825
1964,September,EN,111.9395,129.0954042138834,14.450875
1965,September,LA,114.5,127.05240174672491,14.547500000000001
1966,September,EN,113.61375,130.19330846838523,14.79175
1967,September,N,109.928125,129.54373596384002,14.2405
1968,September,N,113.99725000000001,136.25109377638495,15.53225
1969,September,EN,116.74562499999999,133.10563029663854,15.5395
1970,September,N,113.33800000000001,133.2110589563959,15.097875
1971,September,LA,116.852625,135.00552512192172,15.77575
1972,September,LA,116.86687500000001,131.54176493553027,15.372875
1973,September,EN,110.757625,130.17275334316713,14.417625000000001
1974,September,LA,114.0925,134.27372526677914,15.319625
1975,September,LA,114.452875,130.68042196406162,14.95675
1976,September,LA,112.238625,130.31944217064313,14.626875
1977,September,EN,117.3925,128.84128032029304,15.125
1978,September,N,106.239375,123.41234123412342,13.11125
1979,September,N,112.117625,133.74012337489313,14.994625000000001
1980,September,N,112.411625,131.87470601906165,14.82425
1981,September,N,110.467625,132.343073366518,14.619625
1982,September,N,119.182125,130.59529690379324,15.564625
1983,September,EN,105.074125,124.99509274999912,13.13375
1984,September,N,111.522875,131.44164369865823,14.65875
1985,September,LA,112.116375,133.31460279553275,14.94675
1986,September,N,118.3045,132.1230384304908,15.630749999999999
1987,September,EN,111.896375,126.69981489570148,14.17725
1988,September,EN,110.757625,131.408559907275,14.554499999999999
1989,September,LA,114.600625,133.58238665801343,15.308625
1990,September,N,108.5215,128.90993950507502,13.9895
1991,September,N,119.376875,133.7162243524971,15.962625000000001
1992,September,EN,111.684125,135.89442546109396,15.17725
1993,September,N,111.61575,128.36786027061592,14.327875
1994,September,N,119.029,130.30542976921592,15.510125
1995,September,EN,119.9915,128.26533546126183,15.39075
1996,September,LA,109.759125,133.3431275076218,14.635625
1997,September,N,123.5055,130.12072336859492,16.070625
1998,September,EN,117.21575,128.1909640982547,15.026
1999,September,LA,116.4845,128.97316810391084,15.023375
2000,September,LA,112.343625,127.95341079656278,14.37475
2001,September,N,122.7445,128.84284020872624,15.81475
2002,September,N,120.207,120.24570116548952,14.454374999999999
2003,September,EN,126.76525,134.01050366721165,16.987875
2004,September,N,121.381125,125.22951982855655,15.2005
2005,September,N,115.93725,124.64177820329532,14.450625
2006,September,N,118.2805,127.68693909816074,15.102875000000001
2007,September,EN,112.15875,128.18549600454713,14.377125
2008,September,LA,126.202,129.70971141503304,16.369625
2009,September,N,112.087,125.90889219980907,14.11275
2010,September,EN,111.56675,132.03978784001507,14.73125
2011,September,LA,113.014625,129.0109576526047,14.580125
2012,September,LA,119.209875,128.75611185734402,15.349
2013,September,N,122.799625,128.47148352448144,15.776250000000001
2014,September,N,119.447625,125.94222781742207,15.0435
