HYEAR,classification,harv.month,Variable,Value
1995,EN,April,TMAXA,30
1995,EN,April,TMINA,18
1995,EN,April,SRADA,18.1
1995,EN,April,PRCP,1483.6
1996,LA,April,TMAXA,30.1
1996,LA,April,TMINA,18.1
1996,LA,April,SRADA,18
1996,LA,April,PRCP,1424.3
1997,NE,April,TMAXA,29.3
1997,NE,April,TMINA,17.6
1997,NE,April,SRADA,18
1997,NE,April,PRCP,1517.7
1998,EN,April,TMAXA,29.9
1998,EN,April,TMINA,18.6
1998,EN,April,SRADA,17.5
1998,EN,April,PRCP,1828.2
1999,LA,April,TMAXA,29.1
1999,LA,April,TMINA,17.9
1999,LA,April,SRADA,17.7
1999,LA,April,PRCP,1639.9
2000,LA,April,TMAXA,30.3
2000,LA,April,TMINA,18.1
2000,LA,April,SRADA,18.5
2000,LA,April,PRCP,1051.2
2001,LA,April,TMAXA,28.9
2001,LA,April,TMINA,17.8
2001,LA,April,SRADA,17.7
2001,LA,April,PRCP,1779.7
2002,NE,April,TMAXA,29.8
2002,NE,April,TMINA,18.7
2002,NE,April,SRADA,18.1
2002,NE,April,PRCP,1535.4
2003,EN,April,TMAXA,30.5
2003,EN,April,TMINA,19.3
2003,EN,April,SRADA,17.3
2003,EN,April,PRCP,1453.4
2004,NE,April,TMAXA,30.4
2004,NE,April,TMINA,18.5
2004,NE,April,SRADA,19.1
2004,NE,April,PRCP,1192.5
2005,EN,April,TMAXA,29.8
2005,EN,April,TMINA,18.6
2005,EN,April,SRADA,17.7
2005,EN,April,PRCP,1556.5
2006,NE,April,TMAXA,29.7
2006,NE,April,TMINA,18.6
2006,NE,April,SRADA,17.4
2006,NE,April,PRCP,1744.4
2007,NE,April,TMAXA,30
2007,NE,April,TMINA,19
2007,NE,April,SRADA,17.9
2007,NE,April,PRCP,1867.9
2008,LA,April,TMAXA,29.8
2008,LA,April,TMINA,17.8
2008,LA,April,SRADA,17.6
2008,LA,April,PRCP,1452
2009,LA,April,TMAXA,30.1
2009,LA,April,TMINA,17.6
2009,LA,April,SRADA,17.8
2009,LA,April,PRCP,1296
2010,EN,April,TMAXA,29.7
2010,EN,April,TMINA,18
2010,EN,April,SRADA,17.1
2010,EN,April,PRCP,1980.1
2011,LA,April,TMAXA,29.6
2011,LA,April,TMINA,17
2011,LA,April,SRADA,17
2011,LA,April,PRCP,1703.9
2012,LA,April,TMAXA,30.1
2012,LA,April,TMINA,17.3
2012,LA,April,SRADA,18.4
2012,LA,April,PRCP,1218.4
2013,NE,April,TMAXA,30.4
2013,NE,April,TMINA,18.1
2013,NE,April,SRADA,17.9
2013,NE,April,PRCP,1681.9
2014,NE,April,TMAXA,29.9
2014,NE,April,TMINA,17.7
2014,NE,April,SRADA,17.9
2014,NE,April,PRCP,1746.4
2015,NE,April,TMAXA,30.2
2015,NE,April,TMINA,18.3
2015,NE,April,SRADA,17.4
2015,NE,April,PRCP,1919.4
2016,EN,April,TMAXA,30.1
2016,EN,April,TMINA,18.8
2016,EN,April,SRADA,16.1
2016,EN,April,PRCP,2587.8
2017,NE,April,TMAXA,29.5
2017,NE,April,TMINA,17.4
2017,NE,April,SRADA,17.5
2017,NE,April,PRCP,1805.7
2018,NE,April,TMAXA,30.1
2018,NE,April,TMINA,18.3
2018,NE,April,SRADA,17.2
2018,NE,April,PRCP,1831.8
2019,EN,April,TMAXA,30
2019,EN,April,TMINA,18
2019,EN,April,SRADA,17.5
2019,EN,April,PRCP,1729
1963,NE,April,TMAXA,28.2
1963,NE,April,TMINA,17
1963,NE,April,SRADA,18.1
1963,NE,April,PRCP,1656
1964,EN,April,TMAXA,29.8
1964,EN,April,TMINA,18.1
1964,EN,April,SRADA,17.5
1964,EN,April,PRCP,1279.8
1965,LA,April,TMAXA,27.8
1965,LA,April,TMINA,16.6
1965,LA,April,SRADA,17
1965,LA,April,PRCP,1544.3
1966,EN,April,TMAXA,28.4
1966,EN,April,TMINA,17.7
1966,EN,April,SRADA,16.8
1966,EN,April,PRCP,1924.4
1967,NE,April,TMAXA,28.8
1967,NE,April,TMINA,17.6
1967,NE,April,SRADA,17.8
1967,NE,April,PRCP,1438.3
1968,NE,April,TMAXA,29.7
1968,NE,April,TMINA,17.5
1968,NE,April,SRADA,18.3
1968,NE,April,PRCP,1039.6
1969,EN,April,TMAXA,28.9
1969,EN,April,TMINA,17
1969,EN,April,SRADA,18.4
1969,EN,April,PRCP,1199.2
1970,EN,April,TMAXA,29
1970,EN,April,TMINA,17.2
1970,EN,April,SRADA,18
1970,EN,April,PRCP,1488.9
1971,LA,April,TMAXA,28.8
1971,LA,April,TMINA,17.6
1971,LA,April,SRADA,18.3
1971,LA,April,PRCP,1531.8
1972,LA,April,TMAXA,28.3
1972,LA,April,TMINA,16.3
1972,LA,April,SRADA,17.7
1972,LA,April,PRCP,1472.9
1973,EN,April,TMAXA,29.3
1973,EN,April,TMINA,16.1
1973,EN,April,SRADA,17.9
1973,EN,April,PRCP,1562.7
1974,LA,April,TMAXA,28.5
1974,LA,April,TMINA,17.3
1974,LA,April,SRADA,17.2
1974,LA,April,PRCP,1503.2
1975,LA,April,TMAXA,29
1975,LA,April,TMINA,16.7
1975,LA,April,SRADA,18.3
1975,LA,April,PRCP,1248.8
1976,LA,April,TMAXA,28.9
1976,LA,April,TMINA,16.8
1976,LA,April,SRADA,17.9
1976,LA,April,PRCP,1322.4
1977,EN,April,TMAXA,27.8
1977,EN,April,TMINA,16.8
1977,EN,April,SRADA,17.9
1977,EN,April,PRCP,1704.3
1978,NE,April,TMAXA,29.6
1978,NE,April,TMINA,17.9
1978,NE,April,SRADA,18.4
1978,NE,April,PRCP,1119.5
1979,NE,April,TMAXA,29.2
1979,NE,April,TMINA,17.3
1979,NE,April,SRADA,18.3
1979,NE,April,PRCP,1141.5
1980,NE,April,TMAXA,28.9
1980,NE,April,TMINA,17.3
1980,NE,April,SRADA,17.7
1980,NE,April,PRCP,1603.6
1981,NE,April,TMAXA,29.4
1981,NE,April,TMINA,17.2
1981,NE,April,SRADA,17.7
1981,NE,April,PRCP,1310.6
1982,NE,April,TMAXA,29.1
1982,NE,April,TMINA,17.2
1982,NE,April,SRADA,17.1
1982,NE,April,PRCP,1400.1
1983,EN,April,TMAXA,28.7
1983,EN,April,TMINA,17.9
1983,EN,April,SRADA,17.1
1983,EN,April,PRCP,1900.6
1984,LA,April,TMAXA,28.3
1984,LA,April,TMINA,17.3
1984,LA,April,SRADA,16.9
1984,LA,April,PRCP,1653.3
1985,LA,April,TMAXA,29.3
1985,LA,April,TMINA,17.7
1985,LA,April,SRADA,17.9
1985,LA,April,PRCP,1371.5
1986,NE,April,TMAXA,29.9
1986,NE,April,TMINA,17.9
1986,NE,April,SRADA,18.3
1986,NE,April,PRCP,970.2
1987,EN,April,TMAXA,27.8
1987,EN,April,TMINA,17.5
1987,EN,April,SRADA,17.5
1987,EN,April,PRCP,1352.2
1988,EN,April,TMAXA,27.9
1988,EN,April,TMINA,17.4
1988,EN,April,SRADA,17
1988,EN,April,PRCP,1563.7
1989,LA,April,TMAXA,28.4
1989,LA,April,TMINA,17.3
1989,LA,April,SRADA,17.4
1989,LA,April,PRCP,1220.1
1990,NE,April,TMAXA,28.1
1990,NE,April,TMINA,17.3
1990,NE,April,SRADA,18.1
1990,NE,April,PRCP,1442.3
1991,NE,April,TMAXA,27.9
1991,NE,April,TMINA,17.3
1991,NE,April,SRADA,17.9
1991,NE,April,PRCP,1511.1
1992,EN,April,TMAXA,28.7
1992,EN,April,TMINA,17.8
1992,EN,April,SRADA,17.8
1992,EN,April,PRCP,1317.5
1993,NE,April,TMAXA,28.4
1993,NE,April,TMINA,17.6
1993,NE,April,SRADA,17.2
1993,NE,April,PRCP,1826.2
1994,NE,April,TMAXA,29.1
1994,NE,April,TMINA,17.5
1994,NE,April,SRADA,17.3
1994,NE,April,PRCP,1505
1995,EN,April,TMAXA,30
1995,EN,April,TMINA,18
1995,EN,April,SRADA,18.1
1995,EN,April,PRCP,1483.6
1996,LA,April,TMAXA,30.1
1996,LA,April,TMINA,18.1
1996,LA,April,SRADA,18
1996,LA,April,PRCP,1424.3
1997,NE,April,TMAXA,29.3
1997,NE,April,TMINA,17.6
1997,NE,April,SRADA,18
1997,NE,April,PRCP,1517.7
1998,EN,April,TMAXA,29.9
1998,EN,April,TMINA,18.6
1998,EN,April,SRADA,17.5
1998,EN,April,PRCP,1828.2
1999,LA,April,TMAXA,29.1
1999,LA,April,TMINA,17.9
1999,LA,April,SRADA,17.7
1999,LA,April,PRCP,1639.9
2000,LA,April,TMAXA,30.3
2000,LA,April,TMINA,18.1
2000,LA,April,SRADA,18.5
2000,LA,April,PRCP,1051.2
2001,LA,April,TMAXA,28.9
2001,LA,April,TMINA,17.8
2001,LA,April,SRADA,17.7
2001,LA,April,PRCP,1779.7
2002,NE,April,TMAXA,29.8
2002,NE,April,TMINA,18.7
2002,NE,April,SRADA,18.1
2002,NE,April,PRCP,1535.4
2003,EN,April,TMAXA,30.5
2003,EN,April,TMINA,19.3
2003,EN,April,SRADA,17.3
2003,EN,April,PRCP,1453.4
2004,NE,April,TMAXA,30.4
2004,NE,April,TMINA,18.5
2004,NE,April,SRADA,19.1
2004,NE,April,PRCP,1192.5
2005,EN,April,TMAXA,29.8
2005,EN,April,TMINA,18.6
2005,EN,April,SRADA,17.7
2005,EN,April,PRCP,1556.5
2006,NE,April,TMAXA,29.7
2006,NE,April,TMINA,18.6
2006,NE,April,SRADA,17.4
2006,NE,April,PRCP,1744.4
2007,NE,April,TMAXA,30
2007,NE,April,TMINA,19
2007,NE,April,SRADA,17.9
2007,NE,April,PRCP,1867.9
2008,LA,April,TMAXA,29.8
2008,LA,April,TMINA,17.8
2008,LA,April,SRADA,17.6
2008,LA,April,PRCP,1452
2009,LA,April,TMAXA,30.1
2009,LA,April,TMINA,17.6
2009,LA,April,SRADA,17.8
2009,LA,April,PRCP,1296
2010,EN,April,TMAXA,29.7
2010,EN,April,TMINA,18
2010,EN,April,SRADA,17.1
2010,EN,April,PRCP,1980.1
2011,LA,April,TMAXA,29.6
2011,LA,April,TMINA,17
2011,LA,April,SRADA,17
2011,LA,April,PRCP,1703.9
2012,LA,April,TMAXA,30.1
2012,LA,April,TMINA,17.3
2012,LA,April,SRADA,18.4
2012,LA,April,PRCP,1218.4
2013,NE,April,TMAXA,30.4
